 station number,Year,Month,Day,Maximum temperature (Degree C),solar exposure,max wind speed
66212,2021,12,1,27.2,22.3,28
66212,2021,12,2,27.2,28.4,31
66212,2021,12,3,29.6,24.4,44
66212,2021,12,4,21.8,10.1,39
66212,2021,12,5,19.7,6.5,33
66212,2021,12,6,22.1,11.2,20
66212,2021,12,7,28.6,19.6,33
66212,2021,12,8,20.5,5,28
66212,2021,12,9,24.2,18.6,31
66212,2021,12,10,22.3,15.7,39
66212,2021,12,11,21.6,12.4,41
66212,2021,12,12,22.5,23.7,35
66212,2021,12,13,24.2,31.1,31
66212,2021,12,14,25.2,30.8,28
66212,2021,12,15,31.1,31.4,46
66212,2021,12,16,25.7,17.7,39
66212,2021,12,17,26.3,19.8,31
66212,2021,12,18,37.8,28.7,56
66212,2021,12,19,34.5,18.6,83
66212,2021,12,20,29.3,31,31
66212,2021,12,21,31,32.2,30
66212,2021,12,22,26.9,23.1,31
66212,2021,12,23,28,12.6,31
66212,2021,12,24,27.2,24.1,30
66212,2021,12,25,31.2,30.3,31
66212,2021,12,26,26.8,18,39
66212,2021,12,27,23,15.4,43
66212,2021,12,28,22.1,18.5,43
66212,2021,12,29,24.2,18.5,24
66212,2021,12,30,26.5,29.7,31
66212,2021,12,31,28.6,32,35
66212,2022,1,1,28.1,27.6,31
66212,2022,1,2,30.2,32,33
66212,2022,1,3,28.5,29.3,33
66212,2022,1,4,28.2,25,31
66212,2022,1,5,25.8,13.5,31
66212,2022,1,6,27.5,21.2,41
66212,2022,1,7,28.2,16.7,48
66212,2022,1,8,32.2,24.3,41
66212,2022,1,9,25.3,8.2,30
66212,2022,1,10,29.3,21.8,28
66212,2022,1,11,27.9,16.5,28
66212,2022,1,12,27,14.3,28
66212,2022,1,13,26.3,17,26
66212,2022,1,14,28.9,21.1,28
66212,2022,1,15,32,21.3,26
66212,2022,1,16,28.6,23.4,20
66212,2022,1,17,31.3,26.1,24
66212,2022,1,18,24.3,8.4,33
66212,2022,1,19,23.5,7.5,46
66212,2022,1,20,24.1,18.1,43
66212,2022,1,21,24.5,14.5,33
66212,2022,1,22,25.3,26.7,37
66212,2022,1,23,25,22.1,35
66212,2022,1,24,26.8,19.8,28
66212,2022,1,25,27,19.3,31
66212,2022,1,26,26.7,25.2,33
66212,2022,1,27,27.8,20.2,33
66212,2022,1,28,29.6,28.5,30
66212,2022,1,29,30.4,27.2,31
66212,2022,1,30,29.6,26.1,35
66212,2022,1,31,30,26.1,30
66212,2022,2,1,36.3,22.4,30
66212,2022,2,2,21.7,3.7,31
66212,2022,2,3,24.4,22.4,44
66212,2022,2,4,23.6,17.9,44
66212,2022,2,5,24.7,17.6,48
66212,2022,2,6,24.7,21.3,48
66212,2022,2,7,23.3,16.4,48
66212,2022,2,8,25.1,19.8,28
66212,2022,2,9,32.3,27.9,35
66212,2022,2,10,34.2,23.7,41
66212,2022,2,11,24.5,13.1,46
66212,2022,2,12,23.1,10.3,30
66212,2022,2,13,25.6,20,28
66212,2022,2,14,27.8,24.6,31
66212,2022,2,15,28.8,26.1,30
66212,2022,2,16,28.9,24.6,30
66212,2022,2,17,33.5,25,39
66212,2022,2,18,30.9,26.7,39
66212,2022,2,19,23.6,8.3,33
66212,2022,2,20,31.4,26.2,28
66212,2022,2,21,31.2,21.3,57
66212,2022,2,22,22.3,3,28
66212,2022,2,23,26.7,17.7,35
66212,2022,2,24,27.8,14.4,28
66212,2022,2,25,24.2,6.5,26
66212,2022,2,26,22.3,7.1,31
66212,2022,2,27,26.1,17.4,28
66212,2022,2,28,25.3,12.2,35
